Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,P_1@0,map@0_lb,map@0_ub,P_1@0_lb,P_1@0_ub,map@1,P_1@1,map@1_lb,map@1_ub,P_1@1_lb,P_1@1_ub,map@2,P_1@2,map@2_lb,map@2_ub,P_1@2_lb,P_1@2_ub,map@3,P_1@3,map@3_lb,map@3_ub,P_1@3_lb,P_1@3_ub,map@4,P_1@4,map@4_lb,map@4_ub,P_1@4_lb,P_1@4_ub,map@5,P_1@5,map@5_lb,map@5_ub,P_1@5_lb,P_1@5_ub,map@6,P_1@6,map@6_lb,map@6_ub,P_1@6_lb,P_1@6_ub,map@7,P_1@7,map@7_lb,map@7_ub,P_1@7_lb,P_1@7_ub,map@8,P_1@8,map@8_lb,map@8_ub,P_1@8_lb,P_1@8_ub,map@9,P_1@9,map@9_lb,map@9_ub,P_1@9_lb,P_1@9_ub
experiments/jan_21_recipes_100_users_noise0.5_greedy/noise_0.5_selection_greedy_mnli_temp_1,2024-01-23 20:29:57.337263,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_100_sample.json,data/users/users_100_100.tsv,0.0435,0.02,0.012434189016394502,0.07456581098360548,-0.0075777308941242585,0.04757773089412426,0.04078968253968254,0.02,0.010844984775712357,0.07073438030365273,-0.0075777308941242585,0.04757773089412426,0.04263492063492064,0.02,0.012579202147725711,0.07269063912211557,-0.0075777308941242585,0.04757773089412426,0.051750000000000004,0.02,0.0197835487653842,0.08371645123461581,-0.007577730894124262,0.04757773089412426,0.03701190476190476,0.0,0.01481159399065287,0.05921221553315665,0.0,0.0,0.03619444444444444,0.0,0.016267357364869818,0.05612153152401906,0.0,0.0,0.04346825396825396,0.01,0.017418710134379657,0.06951779780212827,-0.009599639845400536,0.02959963984540054,0.042301587301587305,0.01,0.015993636574859697,0.06860953802831492,-0.009599639845400536,0.02959963984540054,0.043777777777777784,0.01,0.017483522573190385,0.07007203298236518,-0.009599639845400536,0.02959963984540054,0.04938888888888889,0.02,0.0182157682208583,0.08056200955691949,-0.007577730894124262,0.04757773089412426
experiments/jan_21_recipes_100_users_noise0.5_greedy/noise_0.5_selection_greedy_mnli_temp_10,2024-01-23 20:29:57.350471,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_100_sample.json,data/users/users_100_100.tsv,0.053500000000000006,0.03,0.017230560803155118,0.0897694391968449,-0.0036029176947176764,0.06360291769471768,0.05205158730158731,0.03,0.016895829461092,0.08720734514208262,-0.0036029176947176764,0.06360291769471768,0.05594444444444445,0.03,0.01943267312326953,0.09245621576561937,-0.0036029176947176764,0.06360291769471768,0.05457936507936508,0.03,0.017972958467316655,0.09118577169141351,-0.0036029176947176764,0.06360291769471768,0.055690476190476186,0.02,0.023374518981088166,0.0880064333998642,-0.0075777308941242585,0.04757773089412426,0.06348015873015873,0.02,0.028842053259984145,0.09811826420033332,-0.0075777308941242585,0.04757773089412426,0.0723015873015873,0.03,0.0337385528168588,0.11086462178631579,-0.0036029176947176764,0.06360291769471768,0.07353968253968253,0.03,0.03404932673982236,0.1130300383395427,-0.0036029176947176764,0.06360291769471768,0.07120634920634922,0.03,0.03205096515353566,0.11036173325916278,-0.0036029176947176764,0.06360291769471768,0.07294841269841269,0.03,0.033847203982598294,0.11204962141422709,-0.0036029176947176764,0.06360291769471768
experiments/jan_21_recipes_100_users_noise0.5_greedy/noise_0.5_selection_greedy_mnli_temp_100,2024-01-23 20:29:57.364464,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_100_sample.json,data/users/users_100_100.tsv,0.0435,0.02,0.012434189016394502,0.07456581098360548,-0.0075777308941242585,0.04757773089412426,0.042940476190476196,0.02,0.013200700551151016,0.07268025182980137,-0.0075777308941242585,0.04757773089412426,0.04337301587301587,0.02,0.012527636517629077,0.07421839522840266,-0.0075777308941242585,0.04757773089412426,0.03815079365079365,0.01,0.012284538172795772,0.06401704912879153,-0.009599639845400536,0.02959963984540054,0.03812301587301587,0.0,0.018808800343904003,0.05743723140212774,0.0,0.0,0.04996428571428572,0.0,0.025880353439350537,0.0740482179892209,0.0,0.0,0.05513492063492063,0.01,0.02631954802340511,0.08395029324643614,-0.009599639845400536,0.02959963984540054,0.05917857142857143,0.01,0.02812373977174298,0.09023340308539987,-0.009599639845400536,0.02959963984540054,0.05626190476190476,0.01,0.026329396898674064,0.08619441262513547,-0.009599639845400536,0.02959963984540054,0.052130952380952375,0.01,0.022920399563799928,0.08134150519810482,-0.009599639845400536,0.02959963984540054
