Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,P_1@0,map@0_lb,map@0_ub,P_1@0_lb,P_1@0_ub,map@1,P_1@1,map@1_lb,map@1_ub,P_1@1_lb,P_1@1_ub,map@2,P_1@2,map@2_lb,map@2_ub,P_1@2_lb,P_1@2_ub,map@3,P_1@3,map@3_lb,map@3_ub,P_1@3_lb,P_1@3_ub,map@4,P_1@4,map@4_lb,map@4_ub,P_1@4_lb,P_1@4_ub,map@5,P_1@5,map@5_lb,map@5_ub,P_1@5_lb,P_1@5_ub,map@6,P_1@6,map@6_lb,map@6_ub,P_1@6_lb,P_1@6_ub,map@7,P_1@7,map@7_lb,map@7_ub,P_1@7_lb,P_1@7_ub,map@8,P_1@8,map@8_lb,map@8_ub,P_1@8_lb,P_1@8_ub,map@9,P_1@9,map@9_lb,map@9_ub,P_1@9_lb,P_1@9_ub
experiments/apr_17_restaurants_1000_items_10_users/selection_entropy_reduction,2024-04-17 22:01:48.461172,DT,individual,10,entropy_reduction,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/yelp_cat_1000.json,data/users/users_10_1000.tsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,-0.01183297631301293,0.07183297631301294,0.0,0.0,0.02857142857142857,0.0,-0.008761218753143885,0.06590407589600103,0.0,0.0,0.03666666666666667,0.0,-0.011490398419136738,0.08482373175247007,0.0,0.0,0.03666666666666667,0.0,-0.011490398419136738,0.08482373175247007,0.0,0.0,0.041666666666666664,0.0,-0.014121262368433155,0.09745459570176648,0.0,0.0,0.043333333333333335,0.0,-0.0013501096675160446,0.08801677633418271,0.0,0.0,0.04583333333333332,0.0,-0.000443594079417943,0.09211026074608458,0.0,0.0
experiments/apr_17_restaurants_1000_items_10_users/selection_greedy,2024-04-17 22:01:48.467933,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/yelp_cat_1000.json,data/users/users_10_1000.tsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01111111111111111,0.0,-0.010666266494889484,0.032888488717111704,0.0,0.0,0.016666666666666666,0.0,-0.015999399742334237,0.04933273307566757,0.0,0.0,0.016666666666666666,0.0,-0.015999399742334237,0.04933273307566757,0.0,0.0,0.029166666666666664,0.0,-0.009426785104298802,0.06776011843763213,0.0,0.0,0.03666666666666667,0.0,-0.011490398419136738,0.08482373175247007,0.0,0.0,0.030952380952380953,0.0,-0.009640614663603109,0.07154537656836502,0.0,0.0,0.03428571428571429,0.0,-0.011284589299282284,0.07985601787071087,0.0,0.0
experiments/apr_17_restaurants_1000_items_10_users/selection_random,2024-04-17 22:01:48.475135,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/yelp_cat_1000.json,data/users/users_10_1000.tsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,-0.02399909961350135,0.07399909961350135,0.0,0.0,0.025,0.0,-0.02399909961350135,0.07399909961350135,0.0,0.0,0.02,0.0,-0.019199279690801072,0.05919927969080108,0.0,0.0,0.016666666666666666,0.0,-0.01599939974233423,0.04933273307566756,0.0,0.0,0.016666666666666666,0.0,-0.01599939974233423,0.04933273307566756,0.0,0.0
experiments/apr_17_restaurants_1000_items_10_users/selection_thompson,2024-04-17 22:01:48.482354,DT,individual,10,thompson,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/yelp_cat_1000.json,data/users/users_10_1000.tsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiments/apr_17_restaurants_1000_items_10_users/selection_ucb,2024-04-17 22:01:48.489729,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/yelp_cat_1000.json,data/users/users_10_1000.tsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.009599639845400536,0.02959963984540054,0.0,0.0,0.0125,0.0,-0.011999549806750675,0.03699954980675067,0.0,0.0,0.01111111111111111,0.0,-0.010666266494889488,0.03288848871711171,0.0,0.0,0.1,0.1,-0.0959963984540054,0.2959963984540054,-0.0959963984540054,0.2959963984540054,0.1,0.1,-0.0959963984540054,0.2959963984540054,-0.0959963984540054,0.2959963984540054
