Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
MonoLLM,2024-01-18 12:06:34.343010,MonoLLM,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.24556051587301586,0.08628363035585965,0.4048374013901721,0.32723214285714286,0.15226298751143735,0.5022012982028483,0.37663690476190476,0.18343821516030692,0.5698355943635026,0.405109126984127,0.1934253484784337,0.6167929054898202,0.4144097222222223,0.20727214116745454,0.62154730327699,0.4354166666666667,0.23033301142553922,0.6405003219077942,0.5809771825396826,0.38821535708751087,0.7737390079918542,0.7100694444444444,0.5188077872131096,0.9013311016757792,0.7708333333333334,0.5953640474364016,0.9463026192302652,0.6912202380952381,0.4870243401982139,0.8954161359922623
experiments/jan_17_recipes_thompson_temp_sweep_llm_0_noise_0/selection_thompson_mnli_temp_33,2024-01-18 12:33:36.422601,DT,individual,10,thompson,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.21830357142857143,0.09381739124274074,0.3427897516144021,0.3866071428571428,0.22106974961643278,0.5521445360978529,0.2821180555555556,0.1299091341468036,0.43432697696430755,0.32309027777777777,0.14669875722296707,0.49948179833258843,0.3943452380952381,0.20823704392723216,0.580453432263244,0.3630952380952381,0.19634902262703308,0.529841453563443,0.5078869047619048,0.3042298432083607,0.7115439663154488,0.5081349206349206,0.30362386436439487,0.7126459769054463,0.46882440476190473,0.2726301678091322,0.6650186417146773,0.4748015873015873,0.2803968851855987,0.6692062894175759
experiments/jan_17_recipes_greedy_temp_sweep_llm_0_noise_0/selection_greedy_mnli_temp_100,2024-01-18 12:33:19.669037,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.1927827380952381,0.07346577034044528,0.31209970585003094,0.32934027777777775,0.15295978521310755,0.505720770342448,0.3611607142857143,0.16488964355575117,0.5574317850156774,0.43563988095238093,0.2117898276585578,0.6594899342462041,0.4329861111111111,0.20838195269019377,0.6575902695320285,0.44087301587301586,0.21891738560074098,0.6628286461452908,0.41875,0.18638665018893014,0.6511133498110699,0.4347222222222222,0.2086857447507372,0.6607586996937072,0.4429563492063492,0.21865003070003686,0.6672626677126615,0.5244791666666666,0.2827012224895884,0.7662571108437448
experiments/jan_17_recipes_entropy_reduction_temp_sweep_llm_0_noise_0/selection_entropy_reduction_mnli_temp_100,2024-01-18 12:34:18.784473,DT,individual,10,entropy_reduction,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.19538690476190476,0.06909109250591203,0.3216827170178975,0.35181051587301587,0.17202376696499422,0.5315972647810375,0.3689236111111111,0.16876266449318883,0.5690845577290333,0.3814236111111111,0.1857130483108175,0.5771341739114048,0.4111111111111111,0.20089313642539702,0.6213290857968252,0.4223958333333333,0.21539588035848578,0.6293957863081808,0.4023313492063492,0.20729947358652376,0.5973632248261747,0.4420138888888889,0.233314883173992,0.6507128946037858,0.4585813492063492,0.23612992348365153,0.6810327749290468,0.5098958333333333,0.282279819294621,0.7375118473720457
experiments/jan_17_recipes_ucb_temp_sweep_llm_0_noise_0/selection_ucb_mnli_temp_10,2024-01-18 12:33:58.735565,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.17455357142857142,0.054689100870772916,0.2944180419863699,0.36319444444444443,0.1654993238762772,0.5608895650126117,0.35535714285714287,0.15771972787631994,0.5529945578379658,0.44605654761904767,0.22650842999388307,0.6656046652442122,0.4413194444444445,0.2203440665157407,0.6622948223731483,0.44712301587301595,0.22802707985018608,0.6662189518958458,0.4458333333333333,0.22237300455856104,0.6692936621081056,0.44513888888888886,0.2238526305371652,0.6664251472406125,0.4585813492063492,0.24016389649633313,0.6769988019163653,0.5453125000000001,0.31180167724195884,0.7788233227580413
experiments/jan_17_recipes_random_temp_sweep_llm_0_noise_0/selection_random_mnli_temp_33,2024-01-18 12:34:05.821483,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.17455357142857142,0.054689100870772916,0.2944180419863699,0.31378968253968254,0.1548410786524458,0.4727382864269193,0.29166666666666663,0.12970313967216324,0.45363019366117,0.32829861111111114,0.17401746031815016,0.48257976190407215,0.3029513888888889,0.1464517631773587,0.4594510146004191,0.37142857142857144,0.1924219500237084,0.5504351928334345,0.46354166666666663,0.26381022319569636,0.6632731101376369,0.37976190476190474,0.209416785984533,0.5501070235392764,0.39399801587301586,0.2242416861293697,0.563754345616662,0.4219494047619048,0.23468207375885966,0.60921673576495
