Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_14_davidFS2_kv/selction_random_mnli_temp_1_asp_prpt_FS3_v,2024-01-15 14:28:53.527694,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.02538095238095238,0.008273186783532647,0.042488717978372115,0.0155,0.0003640831006796706,0.03063591689932033,0.043,-0.00017623960140291522,0.08617623960140292,0.046833333333333324,0.004255059327262195,0.08941160733940445,0.07874603174603174,0.019870330127011927,0.13762173336505157,0.10216666666666667,0.034683630677424346,0.169649702655909,0.10588888888888888,0.03651925013359025,0.1752585276441875,0.13794444444444445,0.054599313647115316,0.2212895752417736,0.10224603174603175,0.03411267618773496,0.17037938730432856,0.08904761904761906,0.026937784402409057,0.15115745369282907
experiments/jan_14_davidFS2_kv/selction_random_mnli_temp_1_asp_prpt_FS3_v_llm_temp1,2024-01-15 14:28:53.569938,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.05888888888888889,0.0018487519996951488,0.11592902577808264,0.0475,0.0029219377497465004,0.0920780622502535,0.06783333333333333,0.009682398389639003,0.12598426827702766,0.078,0.016468763759805216,0.13953123624019478,0.11488888888888889,0.04873348437889227,0.1810442933988855,0.10933333333333334,0.05466529891683732,0.16400136774982935,0.11322222222222222,0.05597152591021742,0.17047291853422702,0.10826984126984128,0.05255993841031175,0.1639797441293708,0.08963492063492064,0.039547210246082175,0.1397226310237591,0.08674603174603174,0.03758083223753464,0.13591123125452884
experiments/jan_14_davidFS2_kv/selction_random_mnli_temp_1_asp_prpt_davidFS2_kv,2024-01-15 14:28:53.612199,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.03183333333333333,0.002661827205148116,0.06100483946151855,0.028579365079365076,0.004492000322182402,0.05266672983654775,0.06507142857142857,0.01443747379159651,0.11570538335126063,0.07496825396825396,0.02409089865757872,0.1258456092789292,0.098,0.03497311830443403,0.16102688169556598,0.10583333333333332,0.043776140895937135,0.1678905257707295,0.10454761904761904,0.04272025795545716,0.16637498013978091,0.13246825396825396,0.05856517688990348,0.20637133104660443,0.13330158730158728,0.06099151864980511,0.20561165595336944,0.14404761904761904,0.07138572293621587,0.2167095151590222
experiments/jan_14_davidFS2_kv/selction_random_mnli_temp_20_asp_prpt_FS3_v,2024-01-15 14:28:53.653532,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.02254761904761905,0.00615897948270169,0.03893625861253641,0.03144444444444445,-0.009087239846140426,0.07197612873502932,0.06593650793650795,0.009647362185167943,0.12222565368784795,0.07263492063492065,0.023530564581335463,0.12173927668850584,0.08060317460317461,0.027798811101427373,0.13340753810492184,0.07672222222222222,0.03305957762148999,0.12038486682295445,0.06952380952380952,0.028495413914596333,0.11055220513302269,0.09133333333333332,0.035683578157091604,0.14698308850957503,0.08299999999999999,0.03837138086366971,0.12762861913633028,0.07683333333333332,0.027691577343838834,0.1259750893228278
experiments/jan_14_davidFS2_kv/selction_random_mnli_temp_20_asp_prpt_FS3_v_llm_temp1,2024-01-15 14:28:53.695597,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.03674603174603174,0.012164486621054526,0.061327576871008954,0.05657936507936508,0.02347002503156035,0.08968870512716981,0.05688888888888889,0.010281905359507224,0.10349587241827056,0.0838015873015873,0.03205292407942161,0.13555025052375297,0.09630158730158729,0.03278793280068454,0.15981524180249004,0.10038095238095238,0.035647557628838755,0.165114347133066,0.08412698412698413,0.04153600380574035,0.12671796444822792,0.11774603174603175,0.052252864375745584,0.18323919911631792,0.1263809523809524,0.053438985674113065,0.19932291908779173,0.10707936507936507,0.04295152474524838,0.17120720541348175
experiments/jan_14_davidFS2_kv/selction_random_mnli_temp_20_asp_prpt_davidFS2_kv,2024-01-15 14:28:53.737265,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.03183333333333334,0.0026618272051481227,0.06100483946151855,0.023,0.003558999262254319,0.04244100073774568,0.05496825396825397,0.020844813687310434,0.08909169424919751,0.06604761904761905,0.014831061435360414,0.11726417665987768,0.09666666666666668,0.03309317184860422,0.16024016148472914,0.11854761904761907,0.041985672629440515,0.1951095654657976,0.13455555555555557,0.04969943342803915,0.219411677683072,0.1522222222222222,0.06586259241142249,0.2385818520330219,0.12554761904761905,0.05188067077732059,0.1992145673179175,0.1383253968253968,0.05826402203592548,0.2183867716148681
experiments/jan_14_davidFS2_kv/selction_ucb_mnli_temp_1_asp_prpt_FS3_v,2024-01-15 14:28:53.779481,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.021023809523809524,0.004602227506389448,0.0374453915412296,0.04319047619047619,0.012598952204625237,0.07378200017632713,0.04719047619047619,0.016838896157065197,0.07754205622388718,0.05255555555555556,0.023923361391532807,0.0811877497195783,0.09211111111111112,0.04007638322648574,0.1441458389957365,0.09744444444444446,0.04365630106491134,0.15123258782397758,0.10502380952380952,0.049877855986875226,0.16016976306074382,0.11343650793650795,0.05716821595650312,0.16970479991651277,0.12043650793650794,0.057703558872724964,0.18316945700029091,0.13238095238095238,0.06126702662058224,0.2034948781413225
experiments/jan_14_davidFS2_kv/selction_ucb_mnli_temp_1_asp_prpt_FS3_v_llm_temp1,2024-01-15 14:28:53.820337,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.015746031746031744,0.0022647797566652805,0.029227283735398207,0.04185714285714286,0.014563116933805024,0.06915116878048069,0.038436507936507935,0.011876261866111563,0.0649967540069043,0.05091269841269841,0.008236642098094646,0.09358875472730217,0.05824603174603174,0.011312680745021321,0.10517938274704217,0.05835714285714286,0.012079248898950304,0.10463503681533541,0.06804761904761905,0.019113215832586197,0.1169820222626519,0.07822222222222222,0.0261607631588113,0.13028368128563314,0.08274603174603175,0.03296224842148233,0.13252981507058118,0.07941269841269841,0.030523649111656753,0.12830174771374006
experiments/jan_14_davidFS2_kv/selction_ucb_mnli_temp_1_asp_prpt_davidFS2_kv,2024-01-15 14:28:53.861608,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.03183333333333334,0.0026618272051481227,0.06100483946151855,0.03283333333333333,0.0031485595781957955,0.06251810708847087,0.027301587301587302,0.006139885666017461,0.048463288937157144,0.04452380952380953,0.015915401106178204,0.07313221794144086,0.04943650793650794,0.016926016325000473,0.0819469995480154,0.05822222222222222,0.012017058939964395,0.10442738550448004,0.06644444444444444,0.019232512094146365,0.11365637679474253,0.06416666666666666,0.016928242360206562,0.11140509097312676,0.06765873015873015,0.02056050778917319,0.11475695252828712,0.0636031746031746,0.018204188092972258,0.10900216111337696
experiments/jan_14_davidFS2_kv/selction_ucb_mnli_temp_20_asp_prpt_FS3_v,2024-01-15 14:28:53.902988,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.03371428571428572,0.012888142585464977,0.05454042884310646,0.06772222222222221,0.026570701057735097,0.10887374338670933,0.059547619047619044,0.013440839054915422,0.10565439904032267,0.08846031746031746,0.02979929186399443,0.14712134305664049,0.08735714285714286,0.028929422608953884,0.14578486310533184,0.09738095238095239,0.0337287551783088,0.161033149583596,0.08622222222222221,0.023438841202499158,0.14900560324194528,0.08424603174603174,0.016876915916107987,0.15161514757595548,0.08888888888888889,0.020751303025166534,0.15702647475261125,0.11219047619047619,0.04038617654254724,0.18399477583840512
