Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_21_recipes_100_users_noise0.5_ucb/noise_0.5_selection_ucb_mnli_temp_1,2024-01-21 17:43:33.658553,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_100_sample.json,data/users/users_100_100.tsv,0.053500000000000006,0.017230560803155118,0.0897694391968449,0.05078968253968253,0.015446000221287275,0.0861333648580778,0.05174603174603175,0.01642925394428551,0.08706280954777798,0.058972222222222224,0.02303581190006622,0.09490863254437823,0.04395634920634921,0.01592586012826428,0.07198683828443414,0.04577777777777778,0.01878962702346424,0.07276592853209132,0.05864682539682539,0.02558326465706999,0.0917103861365808,0.056230158730158734,0.022950205920102495,0.08951011154021497,0.05488888888888889,0.02261404908935579,0.08716372868842198,0.060388888888888895,0.023438695215077188,0.0973390825627006
experiments/jan_21_recipes_100_users_noise0.5_ucb/noise_0.5_selection_ucb_mnli_temp_10,2024-01-21 17:43:33.737095,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_100_sample.json,data/users/users_100_100.tsv,0.053500000000000006,0.017230560803155118,0.0897694391968449,0.06038492063492064,0.020675752570253135,0.10009408869958814,0.06194444444444445,0.021937408419232453,0.10195148046965644,0.05291269841269841,0.01976039781119797,0.08606499901419885,0.06494047619047619,0.027634745429594813,0.10224620695135755,0.06886904761904762,0.03302617943496308,0.10471191580313216,0.07287301587301587,0.03418348136699362,0.11156255037903812,0.07570634920634921,0.03612794813178051,0.1152847502809179,0.0743015873015873,0.03478814936678203,0.11381502523639256,0.07638095238095238,0.036821580748274275,0.1159403240136305
experiments/jan_21_recipes_100_users_noise0.5_ucb/noise_0.5_selection_ucb_mnli_temp_100,2024-01-21 17:43:33.814540,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_100_sample.json,data/users/users_100_100.tsv,0.053500000000000006,0.017230560803155118,0.0897694391968449,0.05151190476190476,0.01639570881371121,0.0866281007100983,0.059873015873015877,0.02258040378607743,0.09716562795995431,0.05981746031746031,0.022179131654363665,0.09745578898055696,0.06109523809523809,0.02428505199451983,0.09790542419595635,0.06289285714285714,0.028621997135082414,0.09716371715063186,0.06432539682539681,0.030506292689647413,0.09814450096114621,0.06536904761904762,0.03059826535773029,0.10013982988036495,0.06238492063492064,0.027968994824898646,0.09680084644494263,0.06917460317460318,0.033426655073372204,0.10492255127583416
