Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_18_movies_er_temp_sweep_llm1_noise0/selection_entropy_reduction_mnli_temp_1,2024-01-19 09:33:44.809846,DT,individual,10,entropy_reduction,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.3286458333333333,0.18502988357171096,0.47226178309495565,0.27046130952380953,0.140226697482775,0.40069592156484407,0.2516369047619047,0.11775962030380563,0.3855141892200038,0.2950396825396825,0.13537192338893916,0.4547074416904258,0.34017857142857144,0.1413901323010468,0.5389670105560961,0.3671875,0.17433277819262544,0.5600422218073746,0.3923363095238095,0.20574199440636587,0.5789306246412531,0.44605654761904756,0.24835271983770893,0.6437603754003862,0.4386904761904762,0.23879304192511083,0.6385879104558415,0.44955357142857144,0.2530180083989668,0.6460891344581761
experiments/jan_18_movies_er_temp_sweep_llm1_noise0/selection_entropy_reduction_mnli_temp_10,2024-01-19 09:33:44.832196,DT,individual,10,entropy_reduction,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.29851190476190476,0.1454284448775881,0.4515953646462214,0.3949404761904762,0.202185227486887,0.5876957248940653,0.5125,0.3036009948377697,0.7213990051622302,0.4849702380952381,0.2926009846364164,0.6773394915540598,0.6322916666666667,0.4397172223906073,0.8248661109427261,0.6979166666666667,0.4935496906748583,0.9022836426584752,0.675,0.47904897633499344,0.8709510236650067,0.7375,0.5542713191527465,0.9207286808472536,0.7770833333333333,0.5999903919061744,0.9541762747604923,0.7927083333333333,0.6105146169057314,0.9749020497609353
experiments/jan_18_movies_er_temp_sweep_llm1_noise0/selection_entropy_reduction_mnli_temp_100,2024-01-19 09:33:44.854581,DT,individual,10,entropy_reduction,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.33209325396825395,0.16029963822862323,0.5038868697078847,0.38229166666666664,0.2099680068927688,0.5546153264405644,0.4859375,0.27198246023112693,0.6998925397688731,0.5473958333333333,0.33678139259098683,0.7580102740756798,0.5897569444444445,0.3746124858877325,0.8049014030011565,0.6203869047619048,0.39850011408149344,0.8422736954423162,0.6651785714285714,0.44491839303678626,0.8854387498203565,0.6354166666666667,0.4178769530648998,0.8529563802684337,0.665625,0.44454569064705585,0.8867043093529442,0.6620535714285714,0.43894639706297184,0.8851607457941708
