Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_14_david_FS3_v/selction_random_mnli_temp_1_asp_prpt_FS3_v,2024-01-14 18:52:34.190154,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.02538095238095238,0.008273186783532647,0.042488717978372115,0.0155,0.0003640831006796706,0.03063591689932033,0.043,-0.00017623960140291522,0.08617623960140292,0.046833333333333324,0.004255059327262195,0.08941160733940445,0.07874603174603174,0.019870330127011927,0.13762173336505157,0.10216666666666667,0.034683630677424346,0.169649702655909,0.10588888888888888,0.03651925013359025,0.1752585276441875,0.13794444444444445,0.054599313647115316,0.2212895752417736,0.10224603174603175,0.03411267618773496,0.17037938730432856,0.08904761904761906,0.026937784402409057,0.15115745369282907
experiments/jan_14_david_FS3_v/selction_random_mnli_temp_20_asp_prpt_FS3_v,2024-01-14 18:52:34.244981,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.02254761904761905,0.00615897948270169,0.03893625861253641,0.03144444444444445,-0.009087239846140426,0.07197612873502932,0.06593650793650795,0.009647362185167943,0.12222565368784795,0.07263492063492065,0.023530564581335463,0.12173927668850584,0.08060317460317461,0.027798811101427373,0.13340753810492184,0.07672222222222222,0.03305957762148999,0.12038486682295445,0.06952380952380952,0.028495413914596333,0.11055220513302269,0.09133333333333332,0.035683578157091604,0.14698308850957503,0.08299999999999999,0.03837138086366971,0.12762861913633028,0.07683333333333332,0.027691577343838834,0.1259750893228278
experiments/jan_14_david_FS3_v/selction_ucb_mnli_temp_1_asp_prpt_FS3_v,2024-01-14 18:52:34.299922,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.021023809523809524,0.004602227506389448,0.0374453915412296,0.04319047619047619,0.012598952204625237,0.07378200017632713,0.04719047619047619,0.016838896157065197,0.07754205622388718,0.05255555555555556,0.023923361391532807,0.0811877497195783,0.09211111111111112,0.04007638322648574,0.1441458389957365,0.09744444444444446,0.04365630106491134,0.15123258782397758,0.10502380952380952,0.049877855986875226,0.16016976306074382,0.11343650793650795,0.05716821595650312,0.16970479991651277,0.12043650793650794,0.057703558872724964,0.18316945700029091,0.13238095238095238,0.06126702662058224,0.2034948781413225
experiments/jan_14_david_FS3_v/selction_ucb_mnli_temp_20_asp_prpt_FS3_v,2024-01-14 18:52:34.354937,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/movielens_100_50_users.tsv,0.03371428571428572,0.012888142585464977,0.05454042884310646,0.06772222222222221,0.026570701057735097,0.10887374338670933,0.059547619047619044,0.013440839054915422,0.10565439904032267,0.08846031746031746,0.02979929186399443,0.14712134305664049,0.08735714285714286,0.028929422608953884,0.14578486310533184,0.09738095238095239,0.0337287551783088,0.161033149583596,0.08622222222222221,0.023438841202499158,0.14900560324194528,0.08424603174603174,0.016876915916107987,0.15161514757595548,0.08888888888888889,0.020751303025166534,0.15702647475261125,0.11219047619047619,0.04038617654254724,0.18399477583840512
