Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_17_recipes_ucb_temp_sweep_llm_0_noise_0.5/selection_ucb_mnli_temp_1,2024-01-18 12:33:56.378599,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.21830357142857143,0.09381739124274074,0.3427897516144021,0.3038194444444444,0.12178848956649749,0.4858503993223914,0.3293402777777778,0.12463246448094914,0.5340480910746065,0.3579861111111111,0.13664216490176642,0.5793300573204558,0.35711805555555554,0.13553370172490228,0.5787024093862088,0.36493055555555554,0.14564730634679462,0.5842138047643164,0.36006944444444444,0.138742238023646,0.5813966508652428,0.3652777777777778,0.1443789128753458,0.5861766426802099,0.3609375,0.1398539485171057,0.5820210514828943,0.3703125,0.1467876715600347,0.5938373284399653
experiments/jan_17_recipes_ucb_temp_sweep_llm_0_noise_0.5/selection_ucb_mnli_temp_10,2024-01-18 12:33:56.395789,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.19538690476190476,0.06909109250591203,0.3216827170178975,0.34399801587301587,0.14090675950487633,0.5470892722411554,0.3366071428571429,0.13347464251035945,0.5397396432039263,0.43563988095238093,0.2117898276585578,0.6594899342462041,0.4230902777777778,0.19468087799058265,0.651499677564973,0.43194444444444446,0.2062601153627521,0.6576287735261368,0.4145833333333333,0.18092246709970528,0.6482441995669613,0.4232638888888889,0.1944584061796617,0.6520693715981161,0.4299355158730158,0.20256860696734721,0.6573024247786844,0.46979166666666666,0.23183017680165116,0.7077531565316821
experiments/jan_17_recipes_ucb_temp_sweep_llm_0_noise_0.5/selection_ucb_mnli_temp_100,2024-01-18 12:33:56.413414,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/recipe_16_sample.json,data/users/movielens_16_16_users.tsv,0.2011160714285714,0.07339541814600486,0.32883672471113795,0.3101438492063492,0.12865029182417745,0.49163740658852095,0.34241071428571423,0.14046930309434996,0.5443521254770785,0.43712797619047616,0.21177620170794065,0.6624797506730117,0.42725694444444445,0.1999801704785795,0.6545337184103094,0.4256944444444445,0.19733924056246605,0.6540496483264229,0.4145833333333333,0.18092246709970528,0.6482441995669613,0.4284722222222222,0.200450419334777,0.6564940251096674,0.43105158730158727,0.20405779623640624,0.6580453783667684,0.46979166666666666,0.23183017680165116,0.7077531565316821
