Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_18_movies_100_ucb/selection_ucb_mnli_temp_1,2024-01-18 15:41:01.293327,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/users_100_10.tsv,0.05333333333333333,-0.00018764591202233283,0.10685431257868899,0.15666666666666668,-0.0351844906203157,0.34851782395364905,0.195,-0.008711624563849829,0.39871162456384984,0.18333333333333332,-0.02008416051406381,0.38675082718073045,0.15666666666666668,-0.0351844906203157,0.34851782395364905,0.18428571428571427,-0.00727059556282883,0.3758420241342574,0.19361111111111112,-0.007025353212627622,0.3942475754348499,0.22666666666666666,-0.028379804975438544,0.4817131383087718,0.22916666666666666,-0.025396462899933664,0.48372979623326695,0.24027777777777776,-0.010925279806278498,0.491480835361834
experiments/jan_18_movies_100_ucb/selection_ucb_mnli_temp_10,2024-01-18 15:41:01.309711,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/users_100_10.tsv,0.05333333333333333,-0.00018764591202233283,0.10685431257868899,0.19999999999999998,0.0004070373657320825,0.3995929626342679,0.22000000000000003,0.0191752627898287,0.42082473721017133,0.23111111111111113,-0.02345143626356086,0.48567365848578314,0.22777777777777777,-0.027042356528248407,0.482597912083804,0.26666666666666666,0.008074635214416703,0.5252586981189167,0.29583333333333334,0.042671318663576374,0.5489953480030902,0.2875,0.034337985330243015,0.5406620146697569,0.29583333333333334,0.042671318663576374,0.5489953480030902,0.2961111111111111,0.04664604636118802,0.5455761758610342
experiments/jan_18_movies_100_ucb/selection_ucb_mnli_temp_100,2024-01-18 15:41:01.326192,DT,individual,10,ucb,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_100_movie_sample.json,data/users/users_100_10.tsv,0.05333333333333333,-0.00018764591202233283,0.10685431257868899,0.19999999999999998,0.0004070373657320825,0.3995929626342679,0.21166666666666667,0.012189572866342563,0.41114376046699075,0.23111111111111113,-0.02345143626356086,0.48567365848578314,0.23789682539682538,-0.013647144949496148,0.4894407957431469,0.2642857142857143,0.005258944438469082,0.5233124841329595,0.29583333333333334,0.042671318663576374,0.5489953480030902,0.3125,0.06682490146451583,0.5581750985354842,0.32083333333333336,0.07552045408593844,0.5661462125807283,0.32222222222222224,0.08116349449617519,0.5632809499482693
