Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_17_greedy_temp_sweep_llm_0_noise_0/selection_greedy_mnli_temp_0.33,2024-01-17 18:51:15.364383,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.3460813492063492,0.17657901530463185,0.5155836831080666,0.3240327380952381,0.1389224690216217,0.5091430071688545,0.2934027777777778,0.12589377260862383,0.46091178294693175,0.34479166666666666,0.16201929014827224,0.5275640431850611,0.36875,0.18852143569153015,0.5489785643084699,0.384375,0.2041811303930487,0.5645688696069513,0.390625,0.21125961944955096,0.569990380550449,0.4072916666666666,0.23333735486196033,0.5812459784713728,0.3802083333333333,0.20350889822651222,0.5569077684401544,0.3802083333333333,0.20350889822651222,0.5569077684401544
experiments/jan_17_greedy_temp_sweep_llm_0_noise_0/selection_greedy_mnli_temp_1,2024-01-17 18:51:15.381841,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.3391369047619047,0.16664903893007815,0.5116247705937313,0.3251488095238095,0.14033317031434997,0.509964448733269,0.28194444444444444,0.11124449440025827,0.4526443944886306,0.3572916666666667,0.1740516117261239,0.5405317216072094,0.3614583333333333,0.17711154357434788,0.5458051230923188,0.4109375,0.21428028110422484,0.6075947188957752,0.40729166666666666,0.20942209249192703,0.6051612408414063,0.4520833333333333,0.2482609738353619,0.6559056928313047,0.4589285714285714,0.2565261030007184,0.6613310398564245,0.4537202380952381,0.2502355621683321,0.6572049140221441
experiments/jan_17_greedy_temp_sweep_llm_0_noise_0/selection_greedy_mnli_temp_10,2024-01-17 18:51:15.399621,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.33670634920634923,0.16486329552710385,0.5085494028855946,0.4296875,0.22690685348187278,0.6324681465181272,0.4685515873015873,0.2475838445121756,0.689519330090999,0.528125,0.3079474985836813,0.7483025014163186,0.5620535714285714,0.33263029548951384,0.7914768473676289,0.5558035714285714,0.3228567327132609,0.7887504101438819,0.5616319444444444,0.33202933612721774,0.7912345527616711,0.5854910714285714,0.346741349224455,0.8242407936326878,0.5854166666666667,0.3458925815831281,0.8249407517502053,0.5869791666666666,0.34891916694674796,0.8250391663865853
experiments/jan_17_greedy_temp_sweep_llm_0_noise_0/selection_greedy_mnli_temp_100,2024-01-17 18:51:15.416797,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.32976190476190476,0.15506871152819712,0.5044550979956124,0.4359375,0.2362013609982856,0.6356736390017144,0.4685515873015873,0.2475838445121756,0.689519330090999,0.5260416666666666,0.30503275713197264,0.7470505762013606,0.5620535714285714,0.33263029548951384,0.7914768473676289,0.5558035714285714,0.3228567327132609,0.7887504101438819,0.5625,0.33332769623233816,0.7916723037676618,0.588095238095238,0.3505804805276199,0.8256099956628561,0.6000000000000001,0.36809393390918443,0.8319060660908157,0.6020833333333334,0.37206622547131574,0.8321004411953511
experiments/jan_17_greedy_temp_sweep_llm_0_noise_0/selection_greedy_mnli_temp_3.3,2024-01-17 18:51:15.434351,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.33670634920634923,0.16486329552710385,0.5085494028855946,0.39722222222222225,0.20592755481266425,0.5885168896317803,0.40121527777777777,0.18628835065755223,0.6161422048980033,0.4636160714285714,0.24486942019117663,0.6823627226659662,0.475,0.25445364690414485,0.6955463530958551,0.5052083333333333,0.2739989023587869,0.7364177643078796,0.47351190476190474,0.2524141653405082,0.6946096441833013,0.5138888888888888,0.28798686293184983,0.7397909148459278,0.5055555555555555,0.27736888561147255,0.7337422254996385,0.5963541666666666,0.3625341425793297,0.8301741907540036
experiments/jan_17_greedy_temp_sweep_llm_0_noise_0/selection_greedy_mnli_temp_33,2024-01-17 18:51:15.451249,DT,individual,10,greedy,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,0,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.3324404761904762,0.1585725622419929,0.5063083901389595,0.4171875,0.21057049429323618,0.6238045057067638,0.45701884920634916,0.23507112590476048,0.6789665725079379,0.4864583333333333,0.27206134864222087,0.7008553180244458,0.5169146825396825,0.29388106498791156,0.7399483000914535,0.49441964285714285,0.26563253977448875,0.723206745939797,0.4704861111111111,0.2548656279225485,0.6861065942996737,0.5095238095238095,0.28374615607856113,0.7353014629690579,0.5479166666666667,0.3165504450300325,0.779282888303301,0.55,0.32040611594582824,0.7795938840541718
