Experiment Name,Timestamp,PE Module,Response Update,Num Recs,Item Selection,Item Scorer,Preprocess Query,Preprocessor Name,Entailment Model,LLM Temperature,Data Path,User Path,map@0,map@0_lb,map@0_ub,map@1,map@1_lb,map@1_ub,map@2,map@2_lb,map@2_ub,map@3,map@3_lb,map@3_ub,map@4,map@4_lb,map@4_ub,map@5,map@5_lb,map@5_ub,map@6,map@6_lb,map@6_ub,map@7,map@7_lb,map@7_ub,map@8,map@8_lb,map@8_ub,map@9,map@9_lb,map@9_ub
experiments/jan_18_movies_random_temp_sweep_llm1_noise0/selection_random_mnli_temp_1,2024-01-19 09:34:03.645663,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.24632936507936506,0.09666039826140596,0.39599833189732414,0.19933035714285716,0.07645210076140774,0.3222086135243066,0.1705357142857143,0.04894398440433248,0.29212744416709613,0.30076884920634916,0.12498870242816384,0.4765489959845345,0.28869047619047616,0.11189891631271248,0.46548203606823985,0.30379464285714286,0.12417809866266563,0.4834111870516201,0.3442708333333333,0.1439900660711372,0.5445516005955294,0.3996527777777778,0.18668629268758372,0.6126192628679719,0.37812500000000004,0.18080670923031236,0.5754432907696877,0.35659722222222223,0.17795905732371417,0.5352353871207303
experiments/jan_18_movies_random_temp_sweep_llm1_noise0/selection_random_mnli_temp_10,2024-01-19 09:34:03.667411,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.278968253968254,0.13641224793246698,0.421524260004041,0.3128968253968254,0.14087504024309422,0.4849186105505566,0.28427579365079364,0.1262226422260063,0.44232894507558096,0.3090277777777778,0.1242255637907421,0.49382999176481346,0.2925843253968254,0.11057026614209195,0.4745983846515588,0.3011904761904762,0.14295923063293878,0.45942172174801355,0.34278273809523807,0.16517625221110896,0.5203892239793672,0.3742063492063492,0.1756388986861426,0.5727737997265558,0.3576388888888889,0.17355650147019558,0.5417212763075823,0.35694444444444445,0.1775080702713657,0.5363808186175232
experiments/jan_18_movies_random_temp_sweep_llm1_noise0/selection_random_mnli_temp_100,2024-01-19 09:34:03.690485,DT,individual,10,random,MNLIScorer,True,AspectValuePreprocessor,cross-encoder/ms-marco-MiniLM-L-12-v2,1,data/ml25M_16_movie_sample.json,data/users/movielens_16_16_users.tsv,0.22229662698412697,0.10376000652764177,0.34083324744061216,0.2150793650793651,0.10335812300077163,0.32680060715795856,0.26579861111111114,0.11681368575983078,0.4147835364623915,0.30518353174603174,0.148063669341638,0.4623033941504255,0.28142361111111114,0.15360057760909526,0.409246644613127,0.3416666666666667,0.18807245734459613,0.49526087598873725,0.35,0.1982404256971328,0.5017595743028671,0.38749999999999996,0.21304719932992347,0.5619528006700765,0.4479166666666667,0.24464038279025332,0.65119295054308,0.5013640873015872,0.29456188587647625,0.7081662887266982
